study_id,assay,meanAcc,stdDev
15,6,0.6560000000000001,0.20015993605114887
15,3,0.9202898550724636,0.09667872510236472
15,12,0.55,0.2449489742783178
15,16,0.46,0.31368774282716244
15,4,0.7142857142857143,0.1564921592871903
15,11,0.7542857142857143,0.15396792668922832
17,6,0.55,0.11180339887498948
17,3,,0.11180339887498948
17,4,,0.11180339887498948
17,11,,0.11180339887498948
18,6,0.6252631578947367,0.0718878782272163
18,3,0.47,0.16309506430300091
18,12,0.7876923076923077,0.0904426981950712
18,14,,0.0904426981950712
18,4,0.57,0.2293468988235943
18,13,0.8125,0.09991315673568169
18,7,0.44,0.4963869458396343
18,11,0.35200000000000004,0.16277591959500642
21,6,0.45333333333333337,0.11803954139750515
21,3,1.0,0.0
21,4,0.5415384615384615,0.14510555227755811
21,7,0.625,0.19364916731037085
21,11,0.8148148148148148,0.27715980642769933
24,4,,0.27715980642769933
24,7,,0.27715980642769933
